track_id,rel_path,label
blues.00000,blues/blues.00000.npy,blues
blues.00001,blues/blues.00001.npy,blues
blues.00002,blues/blues.00002.npy,blues
blues.00003,blues/blues.00003.npy,blues
blues.00004,blues/blues.00004.npy,blues
blues.00005,blues/blues.00005.npy,blues
blues.00006,blues/blues.00006.npy,blues
blues.00007,blues/blues.00007.npy,blues
blues.00008,blues/blues.00008.npy,blues
blues.00009,blues/blues.00009.npy,blues
blues.00010,blues/blues.00010.npy,blues
blues.00011,blues/blues.00011.npy,blues
blues.00012,blues/blues.00012.npy,blues
blues.00013,blues/blues.00013.npy,blues
blues.00014,blues/blues.00014.npy,blues
blues.00015,blues/blues.00015.npy,blues
blues.00016,blues/blues.00016.npy,blues
blues.00017,blues/blues.00017.npy,blues
blues.00018,blues/blues.00018.npy,blues
blues.00019,blues/blues.00019.npy,blues
blues.00020,blues/blues.00020.npy,blues
blues.00021,blues/blues.00021.npy,blues
blues.00022,blues/blues.00022.npy,blues
blues.00023,blues/blues.00023.npy,blues
blues.00024,blues/blues.00024.npy,blues
blues.00025,blues/blues.00025.npy,blues
blues.00026,blues/blues.00026.npy,blues
blues.00027,blues/blues.00027.npy,blues
blues.00028,blues/blues.00028.npy,blues
blues.00029,blues/blues.00029.npy,blues
blues.00030,blues/blues.00030.npy,blues
blues.00031,blues/blues.00031.npy,blues
blues.00032,blues/blues.00032.npy,blues
blues.00033,blues/blues.00033.npy,blues
blues.00034,blues/blues.00034.npy,blues
blues.00035,blues/blues.00035.npy,blues
blues.00036,blues/blues.00036.npy,blues
blues.00037,blues/blues.00037.npy,blues
blues.00038,blues/blues.00038.npy,blues
blues.00039,blues/blues.00039.npy,blues
blues.00040,blues/blues.00040.npy,blues
blues.00041,blues/blues.00041.npy,blues
blues.00042,blues/blues.00042.npy,blues
blues.00043,blues/blues.00043.npy,blues
blues.00044,blues/blues.00044.npy,blues
blues.00045,blues/blues.00045.npy,blues
blues.00046,blues/blues.00046.npy,blues
blues.00047,blues/blues.00047.npy,blues
blues.00048,blues/blues.00048.npy,blues
blues.00049,blues/blues.00049.npy,blues
blues.00050,blues/blues.00050.npy,blues
blues.00051,blues/blues.00051.npy,blues
blues.00052,blues/blues.00052.npy,blues
blues.00053,blues/blues.00053.npy,blues
blues.00054,blues/blues.00054.npy,blues
blues.00055,blues/blues.00055.npy,blues
blues.00056,blues/blues.00056.npy,blues
blues.00057,blues/blues.00057.npy,blues
blues.00058,blues/blues.00058.npy,blues
blues.00059,blues/blues.00059.npy,blues
blues.00060,blues/blues.00060.npy,blues
blues.00061,blues/blues.00061.npy,blues
blues.00062,blues/blues.00062.npy,blues
blues.00063,blues/blues.00063.npy,blues
blues.00064,blues/blues.00064.npy,blues
blues.00065,blues/blues.00065.npy,blues
blues.00066,blues/blues.00066.npy,blues
blues.00067,blues/blues.00067.npy,blues
blues.00068,blues/blues.00068.npy,blues
blues.00069,blues/blues.00069.npy,blues
blues.00070,blues/blues.00070.npy,blues
blues.00071,blues/blues.00071.npy,blues
blues.00072,blues/blues.00072.npy,blues
blues.00073,blues/blues.00073.npy,blues
blues.00074,blues/blues.00074.npy,blues
blues.00075,blues/blues.00075.npy,blues
blues.00076,blues/blues.00076.npy,blues
blues.00077,blues/blues.00077.npy,blues
blues.00078,blues/blues.00078.npy,blues
blues.00079,blues/blues.00079.npy,blues
blues.00080,blues/blues.00080.npy,blues
blues.00081,blues/blues.00081.npy,blues
blues.00082,blues/blues.00082.npy,blues
blues.00083,blues/blues.00083.npy,blues
blues.00084,blues/blues.00084.npy,blues
blues.00085,blues/blues.00085.npy,blues
blues.00086,blues/blues.00086.npy,blues
blues.00087,blues/blues.00087.npy,blues
blues.00088,blues/blues.00088.npy,blues
blues.00089,blues/blues.00089.npy,blues
blues.00090,blues/blues.00090.npy,blues
blues.00091,blues/blues.00091.npy,blues
blues.00092,blues/blues.00092.npy,blues
blues.00093,blues/blues.00093.npy,blues
blues.00094,blues/blues.00094.npy,blues
blues.00095,blues/blues.00095.npy,blues
blues.00096,blues/blues.00096.npy,blues
blues.00097,blues/blues.00097.npy,blues
blues.00098,blues/blues.00098.npy,blues
blues.00099,blues/blues.00099.npy,blues
classical.00000,classical/classical.00000.npy,classical
classical.00001,classical/classical.00001.npy,classical
classical.00002,classical/classical.00002.npy,classical
classical.00003,classical/classical.00003.npy,classical
classical.00004,classical/classical.00004.npy,classical
classical.00005,classical/classical.00005.npy,classical
